id,pdga_number,first_name,last_name,city,state,country,nationality,member_since
714,58157,Clint,Burner,Powell,TN,US,NULL,2013
715,58197,Chris,Villa,Norristown,PA,US,NULL,2013
716,58600,Heikki,Helenius,Pori,,FI,NULL,2013
717,58680,Chase,Van Burkleo,Columbia,TN,US,NULL,2013
718,58681,Brett,Wolter,Finksburg,MD,US,NULL,2013
719,58712,Marcus,Stephens,Conroe,TX,US,NULL,2013
720,58919,Jarkko,Naukkarinen,Kokkola,,FI,NULL,2013
721,58926,Joona,Heinänen,Kerava,,FI,NULL,2013
723,59438,Will,Ling,Reno,NV,US,NULL,2013
724,59468,Olav,H. Breistein,Fyllingsdalen,,NO,NULL,2013
725,59661,Timothy,T3J Johnson Jr,Elk River,MN,US,NULL,2013
726,59742,Aidan,Brock,Cedar Falls,IA,US,NULL,2013
727,59748,Jeremy,Briscoe,Inkom,ID,US,US,2013
728,59798,Cody,Bartlett,Lincoln,NE,US,NULL,2013
729,59861,Skyler,Stoker,Clinton Twp,MI,US,NULL,2013
730,59990,Joe,Luloff,Cedar Falls,IA,US,NULL,2013
731,60044,Liam,Stott,Littleton,CO,US,NULL,2014
732,60060,Ryan,Johnson,Saratoga Springs,UT,US,US,2013
733,60069,Brandon,Cawthorne,Broken Arrow,OK,US,US,2013
734,60259,Harper,Thompson,Brentwood,TN,US,NULL,2013
735,60331,Gavin,Ossenkop,Norman,OK,US,NULL,2013
736,60367,Kyle,Giovannini,Leavenworth,KS,US,US,2013
737,60435,Ian,Burchett,Radford,VA,US,NULL,2013
738,60469,Caleb,Wilkins,Denver,CO,US,NULL,2013
739,60579,John,"O'Bryan",Canal Winchester,OH,US,NULL,2013
740,60625,Philip,Hee,København Sv,,DK,NULL,2013
741,60666,Christian,Olsen,Otisfield,ME,US,NULL,2013
742,61067,Chris,Sutherland,Nashville,TN,US,US,2013
743,61104,Bonner,Butler,Spicewood,TX,US,NULL,2013
744,61137,Ville,Koutonen,Veikkola,,FI,NULL,2013
745,61186,Silver,Lätt,Pärnu / Pärnumaa,,EE,NULL,2013
746,61404,Trevor,Wilkerson,Clay Center,NE,US,NULL,2013
747,61500,Andrew,Wallen,Mapleton,IL,US,NULL,2013
748,61635,Jerry,Showman,Brattleboro,VT,US,NULL,2013
749,62190,Bradley,Levendosky Jr,Newaygo,MI,US,US,2013
750,62217,Kasper,Skovly,Trondheim,,NO,NULL,2013
751,62387,Edward,Ward,West Lafayette,IN,US,NULL,2013
752,62461,Kevin,Sheehan,Missoula,MT,US,NULL,2013
753,62497,Eric,Schubert,Basking Ridge,NJ,US,NULL,2013
754,62521,Ben,Clark,Springboro,OH,US,NULL,2013
755,62644,John,Pallister,Buffalo Grove,IL,US,NULL,2014
756,62886,Henry,Manahan,Marengo,IA,US,NULL,2014
757,62910,Josh,Miller,Robbinsdale,MN,US,NULL,2014
